user,degree,closeness,betweenness,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved,score
SouravBharati,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.8731640533749106e-08,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,5.043293078939657
Alex51354835,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.8731640533749106e-08,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,5.043293078939657
shop_greek_ish,0.0003185727938834023,0.5016042780748663,0.0,0.0,0.0,0.0,0.0,1.0,0.1826086956521739,0.0,0.0,4.707332632188543
BkChoudhary0707,0.0006371455877668046,0.0,0.0,0.0,2.997062485399857e-07,0.0,0.0,1.0,1.0,0.0,0.0,4.352050925456632
Yolo90069420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.352041795209854
OscarLo31708097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.352041795209854
ajb_neuk,0.0003185727938834023,0.5016042780748663,0.0,0.0,5.619492160124732e-08,0.0,0.0,0.6153846153846154,1.0,0.0,0.0,4.2533719349543
KK66650581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,3.9702685600215544
rdb11012,0.0,0.0,0.0,0.0,9.927769482887026e-07,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,3.970268548648272
BourneFresh,0.0,0.0,0.0,8.798586811595184e-05,1.2250492909071916e-05,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,3.9702676208392633
Hovhann30359211,0.0006371455877668046,0.0,0.0,0.0,1.8731640533749106e-08,0.0,0.0,1.0,0.1826086956521739,0.0,0.0,3.634317246521482
simmons_ritchie,0.0003185727938834023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1826086956521739,0.0,0.0,3.634312679895963
abhiarmy007,0.0,0.0,0.0,0.0,9.365820266874553e-08,0.0,0.0,1.0,0.1826086956521739,0.0,0.0,3.634308111982901
benlee90,0.0,0.0,0.0,0.00016243544882944954,4.252082401161047e-06,0.0,0.0,1.0,0.1826086956521739,0.0,0.0,3.634306589561831
k_sovs,0.0003185727938834023,0.5016042780748663,0.0,0.0,3.746328106749821e-08,0.0,0.0,0.6153846153846154,0.017391304347826087,0.0,0.0,3.390564423643335
melvin01853968,0.0003185727938834023,0.5016042780748663,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,1.0,0.0,0.0,3.316016432602493
MrCheezal_Lando,0.0003185727938834023,0.5016042780748663,0.0,1.353628740245413e-05,7.492656213499642e-07,0.0,0.0,0.3076923076923077,1.0,0.0,0.0,3.31601630112038
cxmzsw,0.0,0.0,0.0,0.0,7.492656213499642e-08,0.0,0.0,0.6153846153846154,1.0,0.0,0.0,3.1803474156070193
KhaleelAlly,0.0003185727938834023,0.5016042780748663,0.0,0.0,5.619492160124732e-08,0.0,0.0,0.3076923076923077,0.5652173913043478,0.0,0.0,2.9342431967704212
shirseendub,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.8731640533749106e-08,0.0,0.0,0.15384615384615385,1.0,0.0,0.0,2.8473386808901124
tanith_f,0.0003185727938834023,0.5016042780748663,0.0,0.0,5.619492160124732e-08,0.0,0.0,0.23076923076923078,0.5652173913043478,0.0,0.0,2.6999043210215286
skaijackson,0.001911436763300414,0.5022496134365546,0.0,0.0018341669430325346,0.013465033749639675,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,2.614232217039068
Persimonka,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.8731640533749106e-07,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,2.612999803209905
probablyaparent,0.0003185727938834023,0.5016042780748663,0.0,6.768143701227065e-06,1.5547261643011759e-06,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,2.6129997260955653
andy_kastrati,0.0003185727938834023,0.5016042780748663,0.0,2.707257480490826e-05,1.4142388602980576e-05,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,2.612999397543163
DwayneChapman,0.0003185727938834023,0.5016042780748663,0.0,6.091329331104358e-05,1.5622188205146753e-05,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,2.6129990733442776
directedbydanya,0.0003185727938834023,0.5016042780748663,0.0,0.00016243544882944954,4.533057009167284e-06,0.0,0.0,0.07692307692307693,1.0,0.0,0.0,2.6129982786429338
elpiczek,0.0,0.0,0.0,0.0,3.9336445120873123e-07,0.0,0.0,0.6153846153846154,0.19130434782608696,0.0,0.0,2.470249194508748
Dale67300682,0.0003185727938834023,0.5016042780748663,0.0,0.0,3.746328106749821e-08,0.0,0.0,0.15384615384615385,0.5652173913043478,0.0,0.0,2.4655654454872225
Benjiwopp,0.0003185727938834023,0.5016042780748663,0.0,0.0,4.4955937280997855e-07,0.0,0.0,0.23076923076923078,0.19130434782608696,0.0,0.0,2.371579334253195
JohnJen20317873,0.0003185727938834023,0.5016042780748663,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.06086956521739131,0.0,0.0,2.2570473688468704
beenaraok,0.0003185727938834023,0.0,0.0,0.0,3.746328106749821e-08,0.0,0.0,0.3076923076923077,1.0,0.0,0.0,2.24299647988073
SamStone89,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.8731640533749106e-08,0.0,0.0,0.07692307692307693,0.5652173913043478,0.0,0.0,2.231226569952919
SpeakFearless23,0.0003185727938834023,0.5016042780748663,0.0,0.0,7.492656213499642e-08,0.0,0.0,0.07692307692307693,0.5652173913043478,0.0,0.0,2.231226569309148
terryberry410,0.0003185727938834023,0.5018200649110583,3.9277639649117267e-05,6.768143701227065e-06,4.4955937280997855e-07,0.0,0.0,0.15384615384615385,0.1826086956521739,0.0,0.0,2.130067063404983
alanwhite12332,0.0003185727938834023,0.5016042780748663,0.0,0.0,6.368757781474696e-06,0.0,0.0,0.15384615384615385,0.1826086956521739,0.0,0.0,2.1296049259900145
Cali49659938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,0.0,0.0,2.008653037720907
AEronStrife2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,1.0,0.0,0.0,2.008653037720907
mfin02,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.3112148373624374e-07,0.0,0.0,0.07692307692307693,0.19130434782608696,0.0,0.0,1.9029015864034393
denaea10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,1.0,0.0,0.0,1.7743141619720117
Christi89209347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,1.0,0.0,0.0,1.7743141619720117
iamkpodo27,0.0,0.0,0.0,0.0,1.1988249941599428e-06,0.0,0.0,0.15384615384615385,1.0,0.0,0.0,1.7743141482382345
