,user,listed,followers
0,Michael05914091,0,8
1,ShieldVoC,18,17566
2,fltrtae,15,1717
3,Lucky00890359,0,0
4,zhenyalindgardt,1,55
5,RideSafeWorld,5,1352
6,Faahvitor18,0,141
7,tvnathanjust,12,5994
8,truongasm,0,9
9,faisal65535337,0,0
10,sangthan_yuva,0,133
11,WilsonR44100502,0,11
12,KafinyaNatasha,0,2
13,Sw4ggar0ni,1,53
14,Climeworks,198,8527
15,BTStinytans,1,388
16,magiciks,1,23
17,McDonaldsCanada,692,135605
18,pmo,20,1669
19,Shehan_Sam,1,88
20,Racheljoyknight,0,10
21,ChickenLickenSA,36,101314
22,PopeyesChicken,1213,241071
23,beware,9,367
24,tinytinniemari,2,214
25,Uber_Qatar,23,4344
26,Grubhub,1388,211267
27,UberUK,212,40699
28,TODAYshow,18273,4238120
29,sashaflck,4,297
30,swatisachdeva_,13,8349
31,Ola_Kolkata,1,447
32,TheoPaphitis,2548,490464
33,Dailymirror_SL,553,457338
34,AapKaGopalRai,257,382684
35,CompBureau,257,8288
36,cameronmonaghan,1322,512476
37,Cadillac,2731,713269
38,aampress,5,7671
39,AndiPim,23,1252
40,JoeH66240566,0,0
41,jameshowitt453,0,2
42,IanIld81,0,48
43,Stephen07248681,0,5
44,ClubHead777,1,42
45,MrBeastBurger,45,51611
46,prabhjeet_s,11,746
47,daniel_lazzarii,0,24
48,kfc,3482,1501315
49,koophoriaa_613,0,6
50,Rubyfied,2,2605
51,UberShouts,325,40316
52,izzygray18,0,11
53,indSupremeCourt,32,17501
54,DrunkenMrNick,2,195
55,Deliveroo,337,66083
56,_ColourMeBadd,6,673
57,RayShmoov,0,293
58,Uber_Perth,25,2411
59,NicholeKrish,2,288
60,jessedsz,0,21
61,UberEats,629,239907
62,renan_botelho,28,2964
63,Uber_MEX,416,485826
64,Drift0r,541,251580
65,Olacabs,263,250149
66,Uber_Kolkata,34,55872
67,az,71,1438
68,BBBTriCounties,41,1825
69,dreaxlu,1,930
70,FT_SriLanka,63,62266
71,PizzaNova,101,5476
72,RyDeo,0,9
73,Uber_Pune,38,4378
74,wordofbrandon,56,24501
75,OfficeOfNG,106,129253
76,SKECHERSUSA,476,47410
77,Uber_BLR,84,14920
78,UberNigeria,53,26746
79,Uber_NZ,27,4800
80,Lbabyrouth,0,23
81,YourVoiceAtIRS,422,33249
82,AskLyft,222,82233
83,KFCSA,221,263919
84,ashleyaustinn,1,360
85,Uber,4410,1053676
86,Starbucks,25902,10921329
87,ksdknews,1945,237887
88,Uber_ARG,77,51470
89,jagograhakjago,79,58610
90,JackPosobiec,5831,1244027
91,GuyFieri,9219,3467996
92,UberEats_JP,277,86923
93,DemanteMichaels,0,49
94,Carmelabrownie,0,2056
95,TimHortons,1164,658497
96,uber_is_a_scam,0,2
97,HenryLacey,2,126
98,CanalRoer,0,15
99,lyft,1816,289075
100,TheJaggi,825,170851
101,cgsombud,5,570
102,fly2ohare,909,53244
103,UberIndia,0,189
104,rahulwho_,12,392
105,Philip76277744,0,0
106,Uber_QLD,28,2206
107,UberFacts,15247,13815805
108,UberUKsupport,57,26721
109,syafiqahsanusii,0,602
110,MichaelBHinman,11,373
111,DoJ_India,28,11572
112,FraudUber,0,1
