,Source,Target,type_of_content,created_at,text
0,Uber_Support,wordofbrandon,Reply,2019-08-31 10:53:53,"@wordofbrandon Thanks for bringing this to our attention, @wordofbrandon. Our team is currently reviewing and will… https://t.co/9laWax1Uoh"
2,Uber_Support,CapeVgirl,Reply,2019-10-01 07:45:30,"@CapeVgirl Here to help. We suggest restarting your app. If this doesn’t work, reset the network setting and reinst… https://t.co/kOrxC7uB7c"
4,SatishInnov8,Uber_Support,Reply,2019-12-09 17:11:51,"@Uber_Support 
1/n
I wish to respectfully state that -
I am a regular Uber User, using this e mail ID and have been… https://t.co/V5PbdyG3yV"
5,Uber_Support,realchetty,Reply,2019-12-20 12:02:54,"@realchetty We definitely want to ensure that this is addressed appropriately. With the issue you raised, we want t… https://t.co/pQKfBfPgU7"
6,Uber_Support,getfitwithgiddy,Reply,2019-12-22 11:25:56,"@getfitwithgiddy We definitely want to follow up, @getfitwithgiddy! Please send us a DM with the phone number assoc… https://t.co/ZUYhGpLi96"
8,Uber_Support,brittanymwehner,Reply,2019-12-23 11:48:14,"@brittanymwehner We definitely want to get this sorted out, @brittanymwehner. In order to best assist you with this… https://t.co/2im8MO7PD5"
10,Uber_Support,Saheem_Khizar,Reply,2019-12-25 10:50:59,"@Saheem_Khizar Thank you for providing this info, @Saheem_Khizar. In order to protect your privacy, please delete t… https://t.co/0JXHQ7pToR"
12,Uber_Support,pelmeouchy,Reply,2019-12-25 15:21:42,@pelmeouchy We'll get this sorted out. We encourage you to continue working with our email support team to help pro… https://t.co/2AB5VNKnXD
13,Uber_Support,AcreUK,Reply,2019-12-27 17:50:17,"@AcreUK We're here to help. In order to further assist, please send us a DM with phone number attached to your Uber… https://t.co/It6nVyTxcq"
14,Uber_Support,iVigneshSuresh,Reply,2019-12-28 02:59:23,"@iVigneshSuresh Hey, please help us with the screenshot of the error."
15,James_Carleton,Uber_Support,Reply,2019-12-28 03:34:47,"@Uber_Support @UberEats @McDonaldsCanada hi team-
If you’re going to allow customers to customize their burgers the… https://t.co/kOHXSbv1AT"
16,James_Carleton,UberEats,Reply,2019-12-28 03:34:47,"@Uber_Support @UberEats @McDonaldsCanada hi team-
If you’re going to allow customers to customize their burgers the… https://t.co/kOHXSbv1AT"
17,James_Carleton,McDonaldsCanada,Reply,2019-12-28 03:34:47,"@Uber_Support @UberEats @McDonaldsCanada hi team-
If you’re going to allow customers to customize their burgers the… https://t.co/kOHXSbv1AT"
18,SajeshSreejayan,Uber_Support,Reply,2019-12-28 06:53:00,@Uber_Support how awesome is this? Partner asks for destination and then cancels immediately. How are you different… https://t.co/iApHGooANR
19,iVigneshSuresh,Uber_Support,Reply,2019-12-28 09:56:17,@Uber_Support @Uber_Support @Uber_India - apart from the below screenshot i also get pls pay outstanding dues which… https://t.co/bGMPMYYPgd
21,iVigneshSuresh,Uber_India,Reply,2019-12-28 09:56:17,@Uber_Support @Uber_Support @Uber_India - apart from the below screenshot i also get pls pay outstanding dues which… https://t.co/bGMPMYYPgd
22,Uber_Support,MsLuna80,Reply,2019-12-28 12:03:32,"@MsLuna80 We're here to help, @MsLuna80! Please send us a DM with the phone number associated with your Uber accoun… https://t.co/1RDe7JXDUn"
24,MsLuna80,Uber_Support,Reply,2019-12-28 12:27:24,"@Uber_Support 2132480087 this guy gave me the hardest time, told me to shut up, he was just trying to get me wherev… https://t.co/HsxPUCMlPB"
25,bayyu4u,Uber_Support,Reply,2019-12-28 14:38:20,@Uber_Support when is UBER opening and closing hours in Lagos Nigeria ?
26,nerdynoodle,Uber_Support,Reply,2019-12-28 14:59:03,@Uber_Support please respond to my DM!
27,Teakdragon,Uber_Support,Reply,2019-12-28 15:05:46,@Uber_Support Every time I try to add my promo code I get a message saying can’t add to my device. What’s going on? https://t.co/QIxwpwAMMt
28,lisamp1986,Uber_Support,Reply,2019-12-28 15:23:47,@Uber_Support thanks for taking the free delivery code off me saying I used it when I never did
29,Leemparker,Uber_Support,Reply,2019-12-28 15:25:30,"@Uber_Support changed my number and can’t log into my account, any advice?"
30,SuevanI,Uber_Support,Reply,2019-12-28 15:41:20,@Uber_Support @KVO310 I’d like to know the answer as well..
31,khanarman009,Uber_Support,Reply,2019-12-28 15:46:02,@Uber_Support I have not traveled. Then why it's showing. My account is online payment method and already deduct so… https://t.co/EPllnnxNYo
32,Uber_Support,miraculous017,Reply,2019-12-28 15:47:10,@miraculous017 We absolutely want to take a closer look. Please send us via DM the phone number associated with you… https://t.co/lWus2DVamJ
33,miraculous017,Uber_Support,Reply,2019-12-28 15:53:36,@Uber_Support I’m alright g. 🚫🐀 https://t.co/zw1c8JvDKD
34,mary_jane_risch,Uber_Support,Reply,2019-12-28 15:58:52,@Uber_Support I havent used uber in months but now I keep getting these texts pls help https://t.co/8lErykqnFT
