,source,target,clique
0,2,2,0
1,3,3,0
2,868,868,0
3,2,2,0
4,868,3,0
5,3,868,0
6,3,2,0
7,2,3,0
8,868,868,0
9,3,2,0
10,868,3,0
11,2,868,0
12,868,2,0
13,2,3,0
14,3,868,0
15,868,2,0
16,3,3,0
17,2,868,0
0,2,2,1
1,3,3,1
2,868,868,1
3,2,2,1
4,868,3,1
5,3,868,1
6,3,2,1
7,2,3,1
8,868,868,1
9,3,2,1
10,868,3,1
11,2,868,1
12,868,2,1
13,2,3,1
14,3,868,1
15,868,2,1
16,3,3,1
17,2,868,1
0,2,2,2
1,3,3,2
2,868,868,2
3,2,2,2
4,868,3,2
5,3,868,2
6,3,2,2
7,2,3,2
8,868,868,2
9,3,2,2
10,868,3,2
11,2,868,2
12,868,2,2
13,2,3,2
14,3,868,2
15,868,2,2
16,3,3,2
17,2,868,2
0,2,2,3
1,3,3,3
2,868,868,3
3,2,2,3
4,868,3,3
5,3,868,3
6,3,2,3
7,2,3,3
8,868,868,3
9,3,2,3
10,868,3,3
11,2,868,3
12,868,2,3
13,2,3,3
14,3,868,3
15,868,2,3
16,3,3,3
17,2,868,3
0,2,2,4
1,3,3,4
2,868,868,4
3,2,2,4
4,868,3,4
5,3,868,4
6,3,2,4
7,2,3,4
8,868,868,4
9,3,2,4
10,868,3,4
11,2,868,4
12,868,2,4
13,2,3,4
14,3,868,4
15,868,2,4
16,3,3,4
17,2,868,4
0,2,2,5
1,3,3,5
2,868,868,5
3,2,2,5
4,868,3,5
5,3,868,5
6,3,2,5
7,2,3,5
8,868,868,5
9,3,2,5
10,868,3,5
11,2,868,5
12,868,2,5
13,2,3,5
14,3,868,5
15,868,2,5
16,3,3,5
17,2,868,5
0,2,2,6
1,3,3,6
2,868,868,6
3,2,2,6
4,868,3,6
5,3,868,6
6,3,2,6
7,2,3,6
8,868,868,6
9,3,2,6
10,868,3,6
11,2,868,6
12,868,2,6
13,2,3,6
14,3,868,6
15,868,2,6
16,3,3,6
17,2,868,6
0,2,2,7
1,3,3,7
2,868,868,7
3,2,2,7
4,868,3,7
5,3,868,7
6,3,2,7
7,2,3,7
8,868,868,7
9,3,2,7
10,868,3,7
11,2,868,7
12,868,2,7
13,2,3,7
14,3,868,7
15,868,2,7
16,3,3,7
17,2,868,7
0,2,2,8
1,3,3,8
2,868,868,8
3,2,2,8
4,868,3,8
5,3,868,8
6,3,2,8
7,2,3,8
8,868,868,8
9,3,2,8
10,868,3,8
11,2,868,8
12,868,2,8
