user,degree,closeness,betweenness,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved,score
Uber_Support,0.9999999999999999,1.0,0.9999999999999999,0.0035397391557417546,0.011078323039391498,0.0008703220191470844,1.0,0.0,0.0,0.0,0.0,4.015488384214281
1975aregr8t,0.0003185727938834023,0.5016042780748663,0.0,0.0,6.930706997487169e-07,0.0,0.0,0.0,0.0,1.0,1.0,2.5019235439394496
MrsKiraly,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.3112148373624374e-07,0.0,0.0,0.0,0.0,1.0,1.0,2.5019229819902336
ajb_neuk,0.0003185727938834023,0.5016042780748663,0.0,0.0,5.619492160124732e-08,0.0,0.0,0.6153846153846154,1.0,0.0,0.0,2.1173075224482867
CNN,0.0,0.0004315770081535847,0.0,1.0,1.0,0.0026109660574412533,0.07965451055662187,0.0,0.0,0.0,0.0,2.082697053622217
Alex51354835,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.8731640533749106e-08,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,2.067140260904738
SouravBharati,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.8731640533749106e-08,0.0,0.0,1.0,0.5652173913043478,0.0,0.0,2.067140260904738
BkChoudhary0707,0.0006371455877668046,0.0,0.0,0.0,2.997062485399857e-07,0.0,0.0,1.0,1.0,0.0,0.0,2.000637445294015
John_ExWife,0.0,0.0,0.0,7.44495807134977e-05,2.1185485443670238e-05,0.0,0.0,0.0,0.0,1.0,1.0,2.000095635066157
Deepthi59226703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
OscarLo31708097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Yolo90069420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
MrCheezal_Lando,0.0003185727938834023,0.5016042780748663,0.0,1.353628740245413e-05,7.492656213499642e-07,0.0,0.0,0.3076923076923077,1.0,0.0,0.0,1.8096294441140812
melvin01853968,0.0003185727938834023,0.5016042780748663,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,1.0,0.0,0.0,1.8096151585610574
shop_greek_ish,0.0003185727938834023,0.5016042780748663,0.0,0.0,0.0,0.0,0.0,1.0,0.1826086956521739,0.0,0.0,1.6845315465209236
shirseendub,0.0003185727938834023,0.5016042780748663,0.0,0.0,1.8731640533749106e-08,0.0,0.0,0.15384615384615385,1.0,0.0,0.0,1.655769023446544
