user,degree,closeness,betweenness,load,eigenvector,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved,mean_score,sum_score
Uber_Support,0.9999999999999999,1.0,1.0,1.0,1.0,0.0035397391557417546,0.011078323039391498,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.5477111039843442,6.0248221438277865
CNN,0.0,0.0023148148148148147,0.0,0.0,1.6400219566838582e-35,1.0,1.0,0.030612244897959183,0.05416666666666667,0.0,0.0,0.0,0.0,0.1897357933072219,2.087093726379441
SocialistBooks,0.0,0.0,0.0,0.0,0.0,0.00039255233467116974,1.762647374225791e-05,0.0,0.0,0.0,0.0,1.0,1.0,0.18185547080076486,2.0004101788084134
gregory_finney,0.0060975609756097554,0.5005793742757821,0.029284127797710578,0.029284127797710578,0.1373678358509545,0.00027749389175030963,2.1653776457013967e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1557378414544207,1.713116255998628
lordsarcastico,0.0060975609756097554,0.5005793742757821,0.018212882282590128,0.018212882282590128,0.1373678358509545,0.000209812454738039,1.7907448350264145e-05,0.9999999999999999,0.004166666666666667,0.0,0.0,0.0,0.0,0.15316953838520742,1.6848649222372816
madisongkk,0.0040650406504065045,0.5005793742757821,0.014761660686827268,0.014761660686827268,0.1373678358509545,6.768143701227065e-06,2.2103335829823946e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.15288623929643044,1.681748632260735
GardeGar,0.0040650406504065045,0.5005793742757821,0.01472749017597813,0.01472749017597813,0.1373678358509545,6.768143701227065e-06,1.3486781184299356e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.1528799481439611,1.6816794295835722
iVigneshSuresh,0.0040650406504065045,0.5005793742757821,0.007158722022894243,0.007158722022894243,0.1373678358509545,8.121772441472477e-05,1.6034284296889235e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.15243955546335905,1.6768351100969494
scribldthoughts,0.0040650406504065045,0.5005793742757821,0.007158722022894243,0.007158722022894243,0.1373678358509545,0.0,1.1238984320249464e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.1524308165442427,1.6767389819866696
JeremyCushman,0.002032520325203252,0.5005793742757821,0.0,0.0,0.1373678358509545,0.0002639576043478555,1.3430586262698109e-05,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,0.15189721486731905,1.6708693635405096
