user,degree,closeness,betweenness,listed,followers,reply_sent,reply_recieved,mention_sent,mention_recieved,tweet_sent,tweet_recieved,score
Uber_Support,0.9999999999999999,1.0,1.0,0.0035397391557417546,0.011078323039391498,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,4.0248221438277865
CNN,0.0,0.0023148148148148147,0.0,1.0,1.0,0.030612244897959183,0.05416666666666667,0.0,0.0,0.0,0.0,2.087093726379441
SocialistBooks,0.0,0.0,0.0,0.00039255233467116974,1.762647374225791e-05,0.0,0.0,0.0,0.0,1.0,1.0,2.0004101788084134
gregory_finney,0.0060975609756097554,0.5005793742757821,0.029284127797710578,0.00027749389175030963,2.1653776457013967e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.546464292349963
JeremyCushman,0.002032520325203252,0.5005793742757821,0.0,0.0002639576043478555,1.3430586262698109e-05,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,1.5335015276895552
pelmeouchy,0.002032520325203252,0.5005793742757821,0.0,5.414514960981652e-05,2.0792120992461506e-06,0.030612244897959183,1.0,0.0,0.0,0.0,0.0,1.5332803638606536
iVigneshSuresh,0.0040650406504065045,0.5005793742757821,0.007158722022894243,8.121772441472477e-05,1.6034284296889235e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,1.5323085522231006
scribldthoughts,0.0040650406504065045,0.5005793742757821,0.007158722022894243,0.0,1.1238984320249464e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,1.532212424112821
madisongkk,0.0040650406504065045,0.5005793742757821,0.014761660686827268,6.768143701227065e-06,2.2103335829823946e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5296191357229532
GardeGar,0.0040650406504065045,0.5005793742757821,0.01472749017597813,6.768143701227065e-06,1.3486781184299356e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5295841035566395
lordsarcastico,0.0060975609756097554,0.5005793742757821,0.018212882282590128,0.000209812454738039,1.7907448350264145e-05,0.9999999999999999,0.004166666666666667,0.0,0.0,0.0,0.0,1.5292842041037369
ashleyaustinn,0.002032520325203252,0.5023174939986284,0.0,6.768143701227065e-06,6.743390592149678e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,1.524771689123431
jeff_deeney,0.002032520325203252,0.5005793742757821,0.0,0.0007918728130435666,6.070924696988085e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,1.5238726399263052
getfitwithgiddy,0.002032520325203252,0.5005793742757821,0.0,0.00031133461025644496,4.328882127349418e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,1.5233746812978215
AcreUK,0.002032520325203252,0.5005793742757821,0.0,0.00012859473032331422,4.126580409584928e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,1.5231899184007107
NadiaZammal,0.002032520325203252,0.5005793742757821,0.0,0.00014213101772576835,7.811094102573377e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,1.5231699999781199
Saheem_Khizar,0.002032520325203252,0.5005793742757821,0.0,5.414514960981652e-05,1.654003859130046e-05,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,1.5230907430544927
s_ande,0.002032520325203252,0.5005793742757821,0.0,4.737700590858945e-05,6.143978095069706e-06,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,1.5230735788502954
imdinkarsharma,0.0040650406504065045,0.5005793742757821,0.0034853921066119943,2.0304431103681193e-05,3.2218421718048465e-06,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.518357414938729
bozychristian,0.0040650406504065045,0.5005793742757821,0.0034853921066119943,0.0,1.9125004984957838e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5183530136704386
dorothywang,0.002032520325203252,0.5023174939986284,0.0,0.0013265561654405046,0.0018283205059371152,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5177089726278623
LuchadorLD,0.002032520325203252,0.5023174939986284,0.0,0.0015363686201785437,0.0012299757123675676,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5173204402890308
Kirst3nF,0.002032520325203252,0.5005793742757821,0.0,0.002003370535563211,7.85792320390775e-05,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,1.5148979260012407
