,Source,Counts
5,Uber_Support,98
2,SadCustomers,26
58,mka1964,14
39,clipsyDinesh,12
0,travisFTN,11
6,Hayley1408,10
83,rodrigosabato,10
78,babitasinghtal,10
57,aidanbell0,9
80,RentalCarsINDIA,8
9,DillonAndrewP,8
3,therobinboynton,7
110,ThatLizardMan1,7
38,munza14,6
66,thekimberleyash,6
103,SucksEats,6
111,kosak88,5
123,DudeDavidTruong,5
62,Mohamed03804323,5
102,eliyahcodex,5
79,riyakumar2001,5
146,CrystalChe12,5
87,Alexand78748016,5
108,SamratDutta1307,5
47,Elizabe17085945,4
145,KristinaLVA,4
42,Yokenth,4
45,KalhanRan,4
86,censorsaredumb,4
96,christiaanmeyer,4
85,sagarsoni144,4
81,manisha0692,4
56,greenfreeman12,4
61,choatNC,4
144,JoeyKaotyk,4
41,fazil03,4
127,JL3M0N5,4
130,shonaconceited,4
104,LiamShi3,4
106,UberINSupport,4
141,gambhirjoker,4
142,goddess_hylia_,3
82,ReddyRavikanthh,3
120,AsharRahul,3
159,tyrakeshae,3
72,Venswa61,3
76,CorinneAselin,3
154,JorgeCorrales,3
153,Tonia06328768,3
132,FlyHiFreeBirds,3
133,QNellieeee,3
112,HariKGayatri,3
150,JWReichertMN,3
7,Tasha_Shar,3
134,Lovepreet_1990,3
135,ralfbuescher,3
136,MarkCollins1992,3
107,Jolzski,3
90,PriyeshPriyada6,3
91,ColtonAlquist,3
105,RonBoone11,3
67,Hovhann30359211,3
137,Aaliyaa1x,3
138,Ezzmundo,3
95,Cindypeach0,3
68,BarryToTheB,3
69,AdemsWorld,3
11,Ihab26279807,3
59,MikeAll00411088,3
162,PushkarTweeting,3
44,canagaratna,3
48,desroshay,3
50,brilliantbrya,3
53,ERamsey10123939,3
122,Crowned_Jerr,3
168,Abhiji0597,3
155,xPrettyPillsx,2
198,BxPineda,2
189,ithnkimparanoid,2
190,techjock78,2
191,Aloysius3666,2
192,JromenJ,2
193,budjew,2
194,_michvv,2
195,a_01212,2
196,judy42104,2
197,Bolt__fx,2
199,Inabees,2
139,Austin_Wegener,2
200,IrritatingBoyTy,2
201,DanMichelV,2
203,JWangto,2
128,Emmonspired,2
204,JeanSbastienLv1,2
126,miss_nightowl,2
125,iCallBu09204740,2
205,vilacron,2
124,noamdolgin,2
188,Junut1999,2
140,Iemonsweets,2
156,hundhurr,2
167,UthmanYussuff_O,2
170,JohnTartaglia,2
172,TraWard_2,2
173,LDNtoBrighton,2
151,FionaPWME,2
174,Star19320707,2
157,go4itdrummer,2
176,OsrykGaming,2
177,RobynPlaysGames,2
178,william53991583,2
149,DrewCDoll,2
187,lxdavis9lxd,2
148,BBMcDee,2
179,FrauWater,2
161,_FubarEats_,2
180,CraftsuneMiku,2
181,katie_paulison,2
182,ThatTiredOne14,2
164,RyanSmith1325,2
184,Christy00216303,2
185,Henny57114351,2
183,CookieCasia,2
16,taelentaed,2
121,adarshvarghese1,2
35,mochified_,2
37,jjksbell,2
15,MY0U1SANA,2
14,ellyytkkk,2
40,RegularReh,2
43,psstimbatman,2
46,LrdSmashington,2
49,Hamiidz2,2
51,John61705706,2
52,roger_lokole,2
54,travofoz,2
55,snnood,2
13,Vishakh91802628,2
12,scencrytae,2
60,khalid_tatheer,2
63,Jasim_ANJ,2
36,entohypen,2
34,snwflwrtete,2
65,MaR2307,2
33,miny00nie1,2
18,kookillusions,2
19,kth_dualityking,2
20,chailaiktyj,2
21,thearadhana,2
22,bangtaniebreads,2
23,rockbisonkth,2
24,kookiecomforts,2
25,taeshuabesties,2
26,HersphinxXBTS,2
27,103sanaiqbal,2
28,mylittlemochi5,2
29,_starguise,2
30,jrmooniee,2
31,GUCCIJlMIN,2
32,Vivian_9627,2
64,kumalc_,2
206,jtroozy,2
70,stg_reigns,2
8,EirikFrvikHanse,2
117,lostmothh,2
116,wokedownsouth,2
115,M4ECU,2
114,beenboo_,2
113,capitalcalculus,2
17,SUNOOSTONE,2
1,BennifromBenin,2
101,KayDizzle_01,2
99,NsfAnthony,2
98,schumann_maggie,2
97,joseph_akilah,2
92,theDonald_Grump,2
84,Abrar61099205,2
93,atwellorama,2
71,Mohamed24241941,2
77,_McTim,2
75,suvibadra,2
74,nisman498,2
73,simmons_ritchie,2
152,HTired89,1
4,dexterbrownfoto,1
118,CyrusNowrasteh,1
160,Toof__74,1
119,Irving8223,1
202,BLESSEDnTHXFUL,1
129,sara_segundo,1
166,divyanshu_nd,1
131,RiquelMaxime,1
158,El_Lloydie,1
169,Shauryayawhaaat,1
171,JlPPS,1
109,Sayantinis,1
10,JenniferAlfon11,1
100,skaijackson,1
143,Gaskell9,1
186,tashaperry83,1
94,SlavetoUber,1
163,dHudds,1
175,JamesBerdd,1
147,mikaandandrea,1
89,UberVirgDetroit,1
88,Frank64365557,1
165,madhukishwar,1
