,Target,Counts
1,Uber_Support,293
4,Uber,40
16,fltrtae,27
3,UberEats,18
2,ShieldVoC,15
24,HenryLacey,11
0,travisFTN,10
35,UberINSupport,8
33,CorinneAselin,7
29,MikeAll00411088,7
52,skaijackson,6
47,ColtonAlquist,6
67,tvnathanjust,5
31,thekimberleyash,5
20,Uber_SL,5
17,munza14,5
37,UberIndia,5
36,riyakumar2001,4
80,Iemonsweets,4
18,RegularReh,4
68,CyrusNowrasteh,4
10,SadCustomers,3
92,mikaandandrea,3
58,SamratDutta1307,3
97,Toof__74,3
102,divyanshu_nd,3
61,RonBoone11,3
62,prabhjeet_s,3
93,HTired89,3
42,Abrar61099205,3
99,El_Lloydie,3
44,syafiqahsanusii,3
51,christiaanmeyer,3
77,RiquelMaxime,3
19,clipsyDinesh,3
98,Lbabyrouth,3
104,dHudds,2
136,Sherri37876657,2
100,Carmelabrownie,2
129,BrookeFiechter,2
95,DrewCDoll,2
107,RayShmoov,2
91,walewoot,2
84,mitali1228,2
137,KDocha,2
82,Gaskell9,2
138,eliene63308735,2
81,RideSafeWorld,2
106,JlPPS,2
110,jessedsz,2
108,cameronmonaghan,2
119,Lucky00890359,2
130,swatisachdeva_,2
128,wordofbrandon,2
127,Drift0r,2
125,AwakeandTryinMT,2
131,ClubHead777,2
124,ashleyaustinn,2
123,Michael05914091,2
121,TipsyMayhem,2
120,KafinyaNatasha,2
132,Rubyfied,2
133,dreaxlu,2
135,vsshole,2
118,saj_anderson,2
117,preetiraw,2
134,dorothywang,2
75,sara_segundo,2
116,CapeVgirl,2
115,IanIld81,2
114,DemanteMichaels,2
113,Philip76277744,2
112,truongasm,2
111,Sw4ggar0ni,2
76,shonaconceited,2
139,LuchadorLD,2
74,JL3M0N5,2
14,JenniferAlfon11,2
34,_McTim,2
30,Mohamed03804323,2
50,Cindypeach0,2
53,Racheljoyknight,2
54,Sayantinis,2
55,BillyeBrim,2
56,eliyahcodex,2
21,SurangaPieris,2
63,Irving8223,2
64,capitalcalculus,2
65,Grubie_Grub,2
60,DrunkenMrNick,2
7,Ihab26279807,2
66,faisal65535337,2
5,zhenyalindgardt,2
72,noamdolgin,2
71,Emmonspired,2
39,savvygupta,2
12,EirikFrvikHanse,2
22,psstimbatman,1
126,BLESSEDnTHXFUL,1
38,RentalCarsINDIA,1
32,BarryToTheB,1
6,dexterbrownfoto,1
28,mka1964,1
27,aidanbell0,1
11,BennifromBenin,1
122,tashaperry83,1
9,Tasha_Shar,1
26,desroshay,1
13,DillonAndrewP,1
25,brilliantbrya,1
8,Hayley1408,1
40,manisha0692,1
23,Elizabe17085945,1
15,therobinboynton,1
48,UberVirgDetroit,1
41,ReddyRavikanthh,1
94,JorgeCorrales,1
78,FlyHiFreeBirds,1
79,QNellieeee,1
69,miss_nightowl,1
83,Ezzmundo,1
85,Aaliyaa1x,1
86,MarkCollins1992,1
87,Lovepreet_1990,1
88,JoeyKaotyk,1
89,gambhirjoker,1
90,ralfbuescher,1
96,JWReichertMN,1
43,rodrigosabato,1
59,Jolzski,1
57,LiamShi3,1
101,tyrakeshae,1
103,Shauryayawhaaat,1
105,madhukishwar,1
49,SlavetoUber,1
73,Crowned_Jerr,1
109,JamesBerdd,1
46,PriyeshPriyada6,1
45,Frank64365557,1
70,DudeDavidTruong,1
